geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
BPIFB1,-2.5820770160246824,-2.571029224391754,-1.1946613149376852,2.5269201476770107,1.2321950894952998,-2.5515343368065357,4.497150050440224,4.696070330020207,4.363463121177012,4.860073530921771,1.7671125537803127,0.4767818439799379,-2.562877865368158,-2.5708184426808587,-1.3480942556910078,2.664642541060784
SYTL5,1.4883938274392714,1.6615347786073906,1.1166227838591458,4.8516842255568005,1.6614329274499542,1.1441502935727483,6.00830988716884,5.918706171150631,6.096623951729352,6.039839635244255,4.655940540130425,4.871533002721616,1.8158745719515155,1.3206332016212357,1.6535597340154362,4.7451024230364425
CEACAM6,9.898665634380883,9.923166254566375,9.919035613274968,11.717516816400773,9.462417969619601,9.498142545073463,12.35435550489516,12.350293416917722,12.351644135531316,12.353404366240012,11.738438718254987,11.756222867001622,9.926916728193465,9.927977462597283,9.840496648828388,11.775086221948886
VSTM2L,1.8977218339470383,0.8816741229292325,0.45130178699115286,4.424482295279395,0.9262622806895113,0.956404309524097,5.602257236565037,5.792248803442196,5.892507741014069,5.516625244493713,4.241351712241502,4.533745500111741,0.9367678914537391,0.8815906295556429,1.349548933128827,4.0286033456112
PIP5K1B,2.706577251145043,2.79096123048519,2.444647965835705,5.379223900631037,2.152867093261212,2.191855228086091,5.828588463962157,5.706834543196133,5.797463912900379,5.454026462366644,5.213727583087793,4.8644236712130295,2.929233954040473,1.6546923431010143,3.3420835761571817,4.699226229607659
GUCY2C,1.301774027563146,1.6552493527487728,1.3167450220028252,4.041400857441277,1.494741513872842,1.9607450083541547,5.219904369865114,4.898602165790052,5.115798390661831,4.941097105430648,4.13630283029334,4.046199037000609,2.461264294457884,1.4948310260936861,2.2568668684884248,4.081502046003009
ERN2,4.094472532994063,4.6005896627303455,4.608690028884138,7.167353525641551,4.532889369277557,4.898295438716474,7.438872492358742,7.535076594409731,7.614552189812162,7.70213995998345,6.881200936904556,7.175766887916374,4.666093138148798,5.116126467667562,5.208452544050751,6.779671479158617
PTPRN2,3.8789264882750687,3.7498449063369286,3.8179259170015434,5.573131171778473,4.073922082874949,3.742415845918299,6.31681350247591,6.34155233290535,6.462601607101829,6.394177708364499,5.62941917403232,5.691271186270996,3.2594990741594785,2.956670034461446,3.4642445030270403,5.469537735901051
NR1I2,2.7525583913606946,2.2130409135252203,2.555522624718601,4.690461111646573,2.6195870120354487,2.513385014016662,4.693884340529051,5.070624790634575,5.210601935485625,4.953311390967708,4.530871764369375,4.2968986324636536,2.2766171411581304,2.1875730287140764,1.7154373015652182,4.511977923170843
CAPN9,3.341920880048327,3.433574751750245,3.357146362568142,5.496098653166324,3.0634910590765156,3.7023704199653666,6.777753254542396,6.664401004556975,6.7711644771112365,6.813977261151592,5.315032900237221,4.96307765582249,3.0131131463592364,3.0086803763969043,2.9395753137497964,5.411351183073495
CAPN5,3.3233503308843995,3.7119581520218405,4.128629280040991,6.165174622925798,3.0787173314297633,4.06748479433719,6.854510966297042,6.698146507240736,6.994343855880836,6.654433722641332,5.6237190260218615,5.941260574573604,3.4004527947065415,3.1613625402618344,3.1851250966264146,6.053780517472587
SPDEF,0.8763878886593531,0.5652109986076544,-0.24667297267470825,3.383941751189092,-0.25046353376621505,0.26597961148567967,3.593404515741063,4.157282300648467,4.229906552106235,4.320395399223243,2.9097197039315694,3.1706799016287985,0.8990583215124218,0.5995094377949522,1.4727815786425194,3.1138491836016793
FAM3D,1.4852225294308063,0.6609909319518135,0.74232447606865,4.071849999631068,-1.205387010628778,0.7734356326621076,5.856307083472953,5.89031775740457,6.210680259005675,6.175055420139089,4.283020377389479,4.358277243460343,0.9671146053406583,1.202670320119055,1.4661367125669222,4.233359401793445
PPM1L,3.718601909574244,3.0434851690740152,3.0458400777124224,5.294269015031756,3.0438037138494,3.3730248542495946,6.566574862760407,6.6800901234983865,6.57280096673122,6.930550347984524,5.36626547042179,4.99055219172828,2.791846519667928,3.618490649725347,4.001834438859977,5.090647798751275
