"geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZSCAN4",1.8874555150991,1.77089640926247,6.42564946803771,4.71267840333628e-06,5.31716542094589e-05,4.30710722048256
"PCLO",1.88542162277579,2.63788360550691,3.38698484672081,0.00327561875814733,0.0116938621849412,-1.91440613478637
"RETSAT",1.88438385277849,3.16995439925012,3.97347782562665,0.000887182561295902,0.00400391966797414,-0.763366543296888
"GALNT4",1.8816468732631,6.84797108515432,10.2665887339926,5.80031662183193e-09,1.97486197460115e-07,10.6809701163321
"PRSS1",1.88082215875601,0.173250354560598,3.50355234376274,0.0025288724935916,0.00940437725582709,-1.4211178701423
"AK4",-1.87497103558217,4.18122484755603,-5.24045060721489,5.48952476154402e-05,0.000409205123980267,1.79323377857167
"CCDC80",1.87330784091381,4.27046298540396,4.12510125193649,0.000632777961613751,0.00303078620323958,-0.660237271054879
"SOD3",-1.8732685146164,2.70072650206174,-4.62448412778802,0.000209331982513466,0.0012197419463334,0.719556963816882
"FAM72B",-1.87064681273294,2.61796623006984,-4.31175355504503,0.000417852167899288,0.00216264531290866,0.0653763571288
"IFIT1",-1.87059723108607,7.77271561238032,-6.19283968242691,7.52632461856758e-06,7.86418085734133e-05,3.19588140011558
"RASSF6",1.87035568949332,6.10516773006298,8.87910380838047,5.27440599394706e-08,1.19018896545926e-06,8.51859754868424
"VSNL1",-1.86969505417666,0.406338186533041,-3.33418696980296,0.00368182639051746,0.0129297350576272,-1.75040063872527
"MAPK12",-1.86547295552846,2.84995036427679,-5.87328259455909,1.44772710808961e-05,0.000135984035290594,3.28203287430924
"BHLHE41",1.86544034788962,5.52126990523817,5.30792269543518,4.7517725716128e-05,0.000361510070116232,1.69165683820399
"SEMA6A",1.86489389523241,1.1870128451357,3.70699232431064,0.00160762409647842,0.00649056253532645,-1.05367451444584
"STOX1",1.86454538218205,2.35543878527812,7.77497342929882,3.60940875020112e-07,6.04189567996513e-06,6.75944288867455
"LIG4",1.86445563178955,0.930498225596189,1.57667811735621,0.132238726023212,0.230439864156483,-4.86778507477705
"ZBTB45P1",-1.86443761201962,0.357645767114402,-1.45691947279241,0.162320272614035,0.270859854778799,-4.9129162378653
"ABCA12",1.86284297549839,2.02430566948177,3.48948281724603,0.00260919741374796,0.00965446626562474,-1.59447026337418
"DHRS4",-1.86133472974823,1.36449306492642,-1.76555323445547,0.0943859132764105,0.17663801370836,-4.67461966799874
"GCSH",-1.86090218415928,2.92494801498121,-5.60119833730128,2.55281345884933e-05,0.000216524847999786,2.72731481869789
"LOXL4",-1.85919627449595,5.05839661501911,-6.53945458452264,3.75859526725059e-06,4.37055902861134e-05,4.34073515670676
"CDT1",-1.85815147825171,4.40553507237791,-9.55099515762402,1.76173679834904e-08,4.84787656042591e-07,9.78007869288583
"AKR1C2",1.85434043552505,2.19435040011516,6.12413679944764,8.65320889178063e-06,8.82383249016028e-05,3.7811782177574
"ACHE",1.85364480102849,2.18880962568982,6.54290334729587,3.73301928273599e-06,4.34842763250167e-05,4.56856980577479
"HNRNPA1P33",-1.85301519138729,3.14409083087812,-8.70028525025339,7.1268694709503e-08,1.54021499412033e-06,8.38361153335188
"NPAS3",1.85254322075049,0.309192529026098,2.0284544343552,0.0575360838171251,0.119002815128137,-4.08870398865289
"PDGFB",-1.85097265639597,4.25028134364324,-10.0434975291039,8.1515502883486e-09,2.56284558282412e-07,10.5390819039191
"HBEGF",-1.84658055411273,3.84235390507847,-9.86816049441805,1.06917351265801e-08,3.23698978513386e-07,10.2601427929491
"MARCH3",1.84657286187469,1.99125473557325,5.35387865090075,4.30813519551292e-05,0.000335242534447086,2.26996405712233
"CCNB1",-1.84464961519684,6.66846219785877,-19.2783865835739,1.72790647459583e-13,7.80282278920644e-11,21.1681664034177
"ESRRG",-1.84444901829287,0.601152714626981,-1.97933356828439,0.0632424930404016,0.128466448876659,-4.20648862872025
"HES2",-1.84416458971618,3.32152339481385,-4.62168647003579,0.000210624330298071,0.0012256602337967,0.618871594495237
"VNN2",1.84410097192932,2.55443390732171,4.45115252100231,0.000306824577074518,0.0016719989560875,0.361363138405783
"AC098826.5",-1.84371348819668,0.260184367354506,-3.97486434282304,0.000884443368846707,0.00399834585555836,-0.509895807358394
"RBMS3",1.84331866578598,0.820726805128321,2.79167965921069,0.0120296107545008,0.033967613456144,-2.82333777211234
"GPX2",1.84281531829577,7.1116288805683,5.34764255834477,4.36575576811827e-05,0.000338060921634061,1.50204080135442
"ADAMTS7",-1.84268960328597,0.501462556968735,-3.37823494326625,0.00333974373736175,0.0118844803248394,-1.66870878967247
"HMCN2",1.84250688450818,4.14968612335064,9.17537497334355,3.23079162058378e-08,7.99635967023817e-07,9.18788107479606
"C16orf74",-1.84141737964214,3.31617257684726,-9.7642233357103,1.25771551982228e-08,3.68200373875725e-07,10.0476105373691
"H2AFY2",-1.84015264816003,4.16360017448168,-3.01132573808948,0.00748305768620032,0.0232051609209726,-3.03095228169158
"CIT",-1.83995736658533,6.29739295402705,-11.4866697518472,9.87668988975313e-10,4.52658914912789e-08,12.5450825303267
"UGT1A1",1.83969677662996,0.312399956463385,2.71603003014199,0.014139165759822,0.0386674181304104,-2.90994545812329
"CFB",1.83216902747083,9.61882142928525,13.9415287973722,4.20240463023776e-11,3.77264613320627e-09,15.4179347120249
"DTL",-1.83195523617263,5.53093712028857,-11.0283894608446,1.88736831459226e-09,7.69478903964592e-08,11.9505512176886
"MIA2",1.83157103628714,1.19245398607404,3.21468948167995,0.0047930336512293,0.0159860000648654,-2.04478689387711
"VIPR1",1.83134728939163,5.61998925476394,17.583907189428,8.39165617040071e-13,2.47852227023991e-10,19.5439096314187
"BCL6",1.83023641044629,4.17933464665056,4.83033415245324,0.000133320659860239,0.00084098950650329,0.899623499680636
"HOXC6",1.82819318839693,2.2244367207114,5.87822309985978,1.43301555069006e-05,0.000134888170568141,3.30698122952466
"TMEM74B",1.82607156964794,1.82035737212742,4.38142000650408,0.00035803864503881,0.0019004359549564,0.289945671023255
"HOXA1",-1.8247614998546,0.845396945717889,-2.34995297875685,0.0303524675830667,0.0711489676625291,-3.62688486002373
"COL1A2",1.82405455584385,0.992074290433561,0.974020912715836,0.342923155919614,0.475265032880874,-5.56835663353638
"MYBL1",-1.82404164776442,3.64980783979607,-9.88491155948736,1.04166841594233e-08,3.16830021983523e-07,10.2699070842214
"GINS2",-1.82368531578742,4.3456440860698,-8.26270981210599,1.51395086293251e-07,2.93322462379533e-06,7.65099815922093
"CDON",1.82151632129022,0.566068724215355,2.33328818124024,0.0314006790224455,0.0730904421869218,-3.62107915578476
"COL4A4",1.81925015068371,1.96402712630899,2.68484449452323,0.0151080810391118,0.0408050203395316,-3.20916577060595
"BIRC5",-1.81698213251476,5.13789451124729,-13.0772342787283,1.20807900537963e-10,8.67923138405442e-09,14.6848876173735
"IFITM10",1.81576116056884,3.28670905727651,5.78271060287416,1.746800213671e-05,0.000158259861212687,3.05409738636825
"ITGA7",1.81501004101352,3.88651821417157,8.54803095949995,9.23766796141032e-08,1.91821864813473e-06,8.16184640579858
"PLA2R1",1.81448307264719,4.96330110150628,7.72569216344035,3.94744689483076e-07,6.5074716150564e-06,6.62104147633526
"RP11-358D17.2",-1.81223450714647,0.193426255455709,-2.20073274697403,0.0410139626885588,0.0908481620810365,-3.80330013873676
"SLC4A3",-1.80971916744331,1.86410003938929,-3.97404620505485,0.000886058647872023,0.00400282573718515,-0.559910433617583
"CYP26B1",-1.80708457522882,0.641172672123996,-3.14586568593306,0.00557591652648567,0.0181418620694054,-2.12703704275815
"BCO1",1.80563300143065,3.47330894598981,7.70275412241921,4.11586317726637e-07,6.71249431852943e-06,6.71056728753043
"NME1",-1.80525947730261,4.64129798450224,-8.25294679152856,1.5400435380451e-07,2.97943503117285e-06,7.60739195862788
"CYP24A1",-1.80466468092782,6.18362812337572,-9.23844228560422,2.91465018037644e-08,7.41992843676525e-07,9.11615929264305
"TIMP4",1.80381801307128,0.57614586948359,4.45692518376089,0.000302932600512875,0.00165830612382888,0.442424783921038
"AC012512.1",-1.80379551715473,2.33007035390825,-7.20597401964641,1.03499122091396e-06,1.45875591910578e-05,5.77510809079824
"FZD2",-1.80279817635763,2.9476753897889,-7.70381703394205,4.10789623725865e-07,6.71249431852943e-06,6.7030060008498
"NRGN",-1.80243382368282,0.670264125846278,-4.03389775389713,0.00077536070214351,0.00358445881467457,-0.383810024996809
"ZIC5",-1.80150592645003,0.403967044675841,-3.5695797265303,0.00218345103994298,0.00832957743165387,-1.29474622711446
"PPP1R1B",1.80039623870439,1.09304533366259,3.78974749084065,0.0013366711562345,0.00561140124368692,-0.881082567090552
"KIF2C",-1.7997211460145,4.86269908010865,-10.7560571320049,2.80032650993859e-09,1.05736192169301e-07,11.5865306738005
"DDIAS",-1.79954699816673,3.41144896160675,-6.37910055489172,5.17212039160859e-06,5.73333212050624e-05,4.24084567502857
"RAB3D",1.79801233636061,3.00778756479044,7.26226049685848,9.30757287047724e-07,1.34172398071055e-05,5.9235151036093
"POC1B-GALNT4",1.79439742912559,2.04083883176461,1.70127491596278,0.106058597891169,0.193576603209492,-4.93143576342417
"BCO2",1.79227770675156,4.11019115373022,6.55316785698635,3.65795771457056e-06,4.26847374752918e-05,4.49606590996733
"FLNA",-1.79209102016741,8.77406249829662,-12.563462504204,2.32618998837651e-10,1.45836750639208e-08,13.7555397384095
"PCDHGC5",1.79138551237211,-0.128804978963183,2.59292455209111,0.0183457646150192,0.0476702947210598,-3.11218819718895
"KCTD7",1.78975215256078,0.290086327474104,1.64613592667072,0.117040660171151,0.208859749507891,-4.65445181520352
"PRTG",-1.78966132929474,2.88557329506389,-4.75998806003948,0.000155484336892692,0.000956331829008124,0.978421342505195
"GAS2L3",-1.78907958479002,4.01316200368201,-4.9887046500734,9.44577909586105e-05,0.000636978376437936,1.28252928940399
"CASZ1",1.78672505473737,4.06644374690521,5.21280721801607,5.82473920991687e-05,0.000428846921538956,1.74387288573225
"NFE2L3",-1.78581916824904,7.0345262092305,-11.4982320938628,9.71914042193911e-10,4.46979568678176e-08,12.4888754035204
"ISG15",-1.78375888552925,6.23661026994771,-8.016772449495,2.3371571371546e-07,4.21481078832047e-06,6.98401394276781
"SYTL2",1.78293679799755,6.83054162049938,11.5522512982632,9.01721619555584e-10,4.24459695442355e-08,12.5826221664345
"CENPH",-1.78240349665091,3.89296989458766,-6.92731992356572,1.76161210344137e-06,2.2589496432314e-05,5.2550956274628
"WDHD1",-1.78080104113494,5.36580770202263,-11.503059598499,9.6541421522308e-10,4.46979568678176e-08,12.628729229428
"DNAAF1",1.78036944164348,2.04117106338935,3.83871431166949,0.00119833896340541,0.00511961528853144,-0.867571553979733
"DHRS9",1.77974110953889,7.99601501192635,13.0058120458956,1.32160353574058e-10,9.24496452290953e-09,14.4264398887492
"DYSF",-1.77965554982599,4.67134044385488,-7.22038597029865,1.00719863959284e-06,1.43057466408632e-05,5.71985985450314
"ST6GALNAC5",-1.77953719515062,3.38736768985063,-6.09800605266801,9.12629260674065e-06,9.18920871486288e-05,3.68505782312929
"RP11-619A10.1",1.77875425250683,2.84430049545919,2.852195818623,0.0105630169430899,0.0306000562751979,-3.06438455459218
"BUB1",-1.77784940215215,6.26335391038621,-19.1302449235248,1.97376028106317e-13,7.95270573363838e-11,21.0073308413707
"FAM46C",1.77699074442029,0.819733114912563,2.64588487499991,0.0164076962428933,0.0435713667860729,-3.09683445808143
"DOPEY2",1.77673033233387,2.28970709344994,1.75009447921874,0.0970864131373793,0.180522596112047,-4.91839612011842
"ATP5J2-PTCD1",1.77556221550845,2.69323568950212,2.74689151960714,0.0132389748246297,0.0367040497276082,-3.24081463791494
"STMN1",-1.77427895756504,6.76131604847395,-18.3078332490377,4.20359626088222e-13,1.43256404880476e-10,20.3005770692538
"UNG",-1.77405548660564,5.68742245663822,-11.2153728482511,1.44559570250429e-09,6.23812093570924e-08,12.2075727883365
"ATP6V1G1",-1.77390052104912,1.62251646590766,-2.36580235992561,0.0293858546424748,0.0693355927664003,-3.73245645115469
"FAM72C",-1.77371215787776,2.79223073627629,-2.67014978723922,0.0155863003773436,0.0418028116165801,-3.40179700521516
"SOX21",1.76879444426834,2.52406960237983,4.47579037531697,0.000290558723523018,0.00160574469619311,0.415090292651205
"ANKH",-1.7685870043349,5.37326209128703,-5.126857362862,7.00710653857648e-05,0.000499096747075134,1.3295887936147
"PTTG1",-1.76580195048895,4.52252074211224,-10.6931700309142,3.07070217464104e-09,1.14001962578643e-07,11.4987300304958
"GOLGA8R",1.76578179783733,1.50133766108515,2.43451700859533,0.025518116474285,0.0620833399340512,-3.59296176463776
"WASH1",-1.76562964830593,1.5638159178466,-1.51834213605111,0.14625375658627,0.249564601205303,-5.07348919461485
"UBAP1L",1.76372901581086,1.44259204120422,4.26079227455346,0.000467915638342393,0.00237641067986578,0.0618106090169253
"S1PR3",1.7634567555765,0.800976032461134,3.74876669480696,0.00146462116293672,0.00603605577568741,-0.950873317315387
