geneSymbol,ERR978108,ERR978109,ERR978110,ERR978111,ERR978113,ERR978115,ERR978116,ERR978117,ERR978190,ERR978192,ERR978195,ERR978215,ERR978219,ERR978220,ERR978222,ERR978224,ERR978118,ERR978120,ERR978121,ERR978142,ERR978144,ERR978151,ERR978107,ERR978193,ERR978112,ERR978212,ERR978217,ERR978143,ERR978147,ERR978221,ERR978148,ERR978223,ERR978149,ERR978225,ERR978183,ERR978184,ERR978185,ERR978186,ERR978187,ERR978188,ERR978191,ERR978194,ERR978213,ERR978216
FOSL1,6.204371991206122,6.148414213168585,6.37658822307961,6.2180798247943745,6.538500001318471,6.53069044126205,6.518449499970772,6.6979633412697215,3.9592807231371383,4.477874909843341,4.529053560913404,3.337462939471235,3.0828995310892044,3.0813175019799557,3.0974130305650247,1.9874224856662381,6.691434210971833,6.7123802090366365,6.537933397738517,6.892757807498279,6.749973043430365,7.289646961109118,6.266380155136324,5.011357516590602,6.284459904986971,2.058132716129466,2.8614468427831032,6.665167701205858,7.207384990671325,2.513317170888518,7.137152854242821,3.0061518158892766,7.388101828672495,2.3902078164479024,3.8779545932067268,3.8355190815514364,3.9580146892239947,3.519213879277567,3.66711305772472,3.221406120035901,4.452204134095731,4.486018846162367,2.264567447610502,2.8226004422465487
AKAP12,6.9136168122812824,6.818304599302614,6.920290144438378,6.882575959006515,7.211749331591974,7.291750683357167,7.27164718124786,7.410873582218767,6.305209026328483,6.379108607287767,6.238137767335659,3.9408705544299174,4.802991074007548,4.780879903546136,4.501302049190247,4.622774178366138,7.4190379566989115,7.328201797773685,7.406026917979629,8.171309180302309,8.148013558899917,8.978144692860297,7.0179141179436195,6.5060327094079735,7.107246231394399,4.064377012517245,3.889500843852522,8.085110810241355,9.022313901674895,4.8651844226401035,9.042678212480274,4.659489349099246,8.893791185099355,4.735834917440771,4.198772294790237,4.209314009286778,4.391081951965682,4.449377779771051,4.435866491471304,4.482493075747188,6.178565347113083,6.203868864569939,3.8876068473461802,4.048782422085697
MFSD2B,3.7664750428464315,3.7005193529725,3.9122359730701293,3.977943348738773,3.6524695879479614,4.169360610308514,4.635650955479077,4.246365730015413,2.808145702716433,3.0287256569841117,2.7925612718075663,1.9678507432222883,2.175495222801709,1.420512605835885,1.579117914698721,1.8750652456904278,4.677734013546187,4.605555186135709,4.580693099366934,3.193951761639728,3.3096697294979482,4.272507700292997,3.6572801249276963,2.3944764996230194,3.646752034606513,0.9805132484794938,1.7504472317211286,3.618525124053999,3.8309636967847913,1.1858055437133421,3.659823560882582,1.559237325852835,3.6969595377198523,1.5918856002783852,1.4290169609118375,2.042156387066563,2.046091879383242,1.9096455593396924,1.9716442390081677,0.7191211251139841,2.333023844582376,2.32525046762074,2.346752465990174,1.3863463003626666
HMGA1,10.133084986539492,10.155483422894306,10.169872811302866,10.173392227878718,9.973276742047327,10.84333785541558,10.92209076599088,11.010904734553849,8.410943268508511,8.634832666432853,8.735338900344258,8.11269935659196,7.789560950026092,7.846566543439544,8.231721584537548,8.08591471242268,10.996421238069779,10.926522770778085,10.898137146583476,9.895022635586464,9.838483710271909,9.894211785044828,10.012968846387903,8.703263617191373,10.134186381701962,7.794928214383164,8.044596619999437,9.886020781882992,10.029639876439091,7.9650429327408565,10.037759272701935,7.868692066729342,10.15759199522588,7.766726818748631,7.670527757577034,7.569283491667934,7.753617084728537,7.943160434512707,7.606380885873354,7.411875808517848,8.711145747950248,8.837037569634669,8.201728017498287,8.213747901520385
HAS3,4.651078236378561,5.040438242582559,4.544535099492789,4.941884318875593,5.026216198803693,5.832766659145566,6.178606253135725,6.126659017471907,4.00488874430084,4.057807393499913,3.862230008969388,2.5559943331158195,3.389465284238185,3.0827018836355577,3.1754009418582583,2.797855577297474,6.373532710524677,5.994923272099805,5.889284728395287,4.8653683301582955,4.340427825662413,6.147531734188398,4.699256189645277,4.3015923133734555,4.728900512321839,2.9714176853120025,2.1562241188410103,4.841645250672622,6.019681953154159,2.0546794446467707,6.1132599332144,2.5024751468109905,6.132811779516324,3.737563650597021,2.555274696918259,1.979013265237386,2.475926727831857,3.476131381708163,1.8953157364119826,2.630972547370901,4.678608647412539,4.709997818425373,2.424604593410769,3.1786821683370707
SERPINE1,5.850694506915989,5.403580802399505,5.487817916230303,5.302720252187899,5.451067362375289,5.715048432749284,5.957949333051876,5.816650216791609,3.7076300020489503,3.837993977219993,4.009471912953132,2.958573929911674,3.6848592099856448,3.7372581124080457,3.837223060797692,3.5516599168026466,6.035138458970537,5.608590707276703,5.83937847048885,6.837608343652468,6.887199147073045,8.616321574616455,5.485951872268085,3.5137054626918847,5.3235053754770005,2.7187139217735843,2.9200203063515673,6.94639609759076,8.738003261979586,4.14829648808058,8.70355399951958,4.194063101423798,8.688158469591658,3.7198195691545175,2.91060138657916,2.3026699104916446,2.2105032492410515,2.4129445277199912,1.4072931755062146,2.646298122634413,3.614068618165436,3.925972537510041,2.730433759042365,3.5750709221214887
ANXA8,5.410035132600413,5.369340660816259,5.647463291629723,5.452212612963666,5.559077405812823,5.5973473045886655,5.765835808152337,5.578940749868924,4.182707083219552,2.6861676737048223,3.6745483714980254,3.496798058673988,3.7563064469621605,4.194774894440984,4.199664420001788,3.5051755045274424,5.586022914010335,5.788692091162202,5.510678187388217,6.55735049870515,6.755700870008156,7.66757648065584,5.629021396452468,4.0719655096266525,5.3888190388946215,3.4871688464405093,3.8143509571352654,6.714983691196077,7.259306105421779,3.903750581605419,7.355728053239632,3.819659897619803,7.445841634511506,3.759042775572545,3.5925196007136218,3.3379279435527547,3.533782758957711,3.7051010177629484,3.0199223784769758,4.24712067341328,3.9617224235069295,3.377271224487735,3.5061915432129003,3.0463428423220855
DKK1,6.765310263753396,6.519173478048503,6.772808376708754,6.59935612631266,6.674745787029395,5.84754606503607,6.04243492424407,5.8613801555839,4.3878861691209785,4.108325276847641,4.184074686945763,4.710239387031238,5.384437640140396,4.9177804722388885,4.97514252484444,4.9649750501513825,5.6994021966835575,5.642362609407687,5.913269534067494,8.546240196924922,8.490910120303965,9.628554273613128,6.341363523198225,3.4087536099104927,6.64205520540609,4.220007683947519,4.3228316953106525,8.496848557717472,9.561868753297864,5.029687958802844,9.531800687849477,5.003889306997256,9.381439818235965,4.953391040826651,3.7551215099797464,4.432120538531705,4.450331240951034,4.9438415033740855,4.802626472959226,4.7963924113845255,4.189716005177574,4.163690302787323,4.041063060914401,4.573968094754951
FST,3.922639947779368,3.4941351743680382,3.8247395927791277,4.109893540470759,3.783958946643814,3.2776751808694145,3.38599834233902,3.3250604198628033,2.998953314921142,2.1075837247742735,2.37003617588467,1.7970675482296157,2.0467021755116708,0.5585040051828581,2.6744871679806796,2.2274641579085377,3.5342013993641372,3.845693284635429,3.464153761056436,4.618158880348924,5.760769513751834,6.632518830003432,3.620670168882511,2.6714560738566453,3.664348646943654,1.512814168752187,-0.5709181360292648,5.1160770939847025,6.502550047684161,2.2089172973624285,6.855065792293746,1.8062207814702296,6.368943058855301,1.8305242035769116,1.5150408753775688,1.5027848454012798,1.286726627415474,3.385734453286985,0.8546454540225547,2.6649280460268736,3.156161484377688,2.931563199564878,1.1012721125147371,-0.5968738416885673
KLC3,2.3471706385122313,1.529566104048391,2.309720225561567,1.8660798674574044,1.287555410976913,0.7832630898989629,1.543928669132723,1.1778234284084255,0.8420474572394704,1.3616413974634807,0.8759921022035777,1.629517577357484,-2.5354306678128973,-1.0136614231855718,-0.2080581053175686,0.9648443256344851,2.082761016551454,2.6605528468524366,2.258915851155454,3.425243230774169,3.0277091305964925,3.279840454433462,2.2571217593659982,0.1678122242823015,1.8480213728087298,0.0654212519054849,0.3010671240282617,3.4669188236082316,3.543013841291182,-0.8037457087035536,3.3757140038728384,1.6569793599035718,3.4467176295704807,-1.131550615950046,0.6638065345919799,0.09840862136721533,0.7613134318394575,1.1884988987700431,1.0967631364476869,-0.19349158930253282,1.696672284074493,0.9099586520440729,-0.24257827832593687,0.8886127135077355
PRTG,3.96706969112585,2.7782138635972173,3.0238855364303463,4.095681301570071,3.3646867224716397,2.640015405579234,3.796738279414318,3.802653895758894,2.0620260407570585,3.77856091055803,3.7861975945003032,2.1647844260264013,2.1522940262477013,0.4484939503551699,0.4227267537427337,2.870724108882395,2.911474124190718,4.533559067645741,4.246809954138208,4.368720988157935,2.798123750137693,5.676806643290462,3.2167585749843335,1.2789803860326037,3.826800314451696,0.23477368531650206,-1.5736986059607732,3.8117846909139823,4.878916368567131,1.5106753018505545,3.5330620561639074,3.180188878040133,4.618956719570318,3.484880830090993,1.2800801324128914,2.7212390377650175,2.6754701073732328,1.7596217782127181,0.3041479255208155,0.2801431045298152,1.5148719771306896,1.1678025875482905,2.8050802154477057,0.004960987661286978
ANXA8L1,2.8120255477125085,3.2689045394669707,2.636750923572059,2.732473122193982,2.902072557960289,3.434856623740932,1.8128632815413035,2.8965757219770407,0.5847492381591409,1.9189178920903622,1.8483773289469358,-2.594202246337365,1.552489019226289,-2.5542843698365485,1.370941107872903,1.5830105044636305,3.0102048272419584,2.5016337729161644,3.224024690209971,4.09870192182721,2.4102150561413107,3.969657692281395,3.3922371194733687,-2.3854360643901646,1.726219180261254,-2.5697386178940618,-2.5714688404760797,3.7727308550857725,5.308807000863545,-2.560196630443964,4.407124891578628,-2.5624242560625086,4.106766253392413,1.2806550041527056,0.9450077823490539,-2.5390613413410836,1.7372131445599714,1.1813779705675798,1.67501539908081,1.0590259600768386,-2.3747089821853455,0.23664129978589685,2.0270619440677202,1.2220171738478895
