"geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RIC1",0.249084499038662,5.59186831617535,0.929250483216364,0.357682805100131,0.483724237056529,-6.88628270268122
"L3MBTL3",0.249062239019623,4.74389866291834,1.86954391476046,0.0680165014954675,0.128507253722597,-5.47715583547812
"EBP",-0.249054447275455,5.90270239689406,-2.37836991085411,0.0216639163315449,0.0495018529413022,-4.65657574002785
"ROR1",-0.24887804460699,4.10306056021043,-0.545466424328481,0.588107693391162,0.6968814048679,-6.91993598024333
"UBE4A",0.248851667148698,7.12982705801439,4.52957528496592,4.27764859899226e-05,0.000224376785790229,1.12067132924565
"FAM200B",0.248787235803833,4.37970853733234,2.7161971182942,0.00931574695406126,0.0243968174567405,-3.6514135107057
"NEURL4",0.248760538577728,3.7663689945536,1.50694981659486,0.138763259859263,0.229871820759462,-5.85772455675497
"GOSR2",-0.248729596139645,2.6240537721165,-0.737912423797226,0.464371772890325,0.586135423258631,-6.4153226438799
"OSTM1",0.248615243342166,4.79937514951818,1.97008685466834,0.0549573053908211,0.107865876191118,-5.30511887040729
"ELAC1",-0.248587584986812,2.8483088151527,-1.43712478235554,0.15755145423327,0.253931144858622,-5.7266905275457
"GATAD1",0.248564482861964,6.71921215107356,1.92563793243901,0.060437844448048,0.11648758426564,-5.64269977146085
"ZRANB2",0.248430026178312,5.65950337487455,1.9640207216015,0.0556790918176946,0.108960973239645,-5.44726847645555
"TXN",-0.248323425017687,6.72581655336868,-3.988487102776,0.000239977341041039,0.00102722008177323,-0.520964023324213
"ACADSB",0.248209341745143,4.6924416360402,1.962209253676,0.0558962077570256,0.109301219625159,-5.30148123573959
"NAA38",0.248162493798944,3.71650774206549,2.16218412189961,0.0359203129517862,0.0754595302508346,-4.71438587231574
"PPOX",-0.248123934645132,2.04791893310299,-0.815792095537023,0.418886359006319,0.543155262432411,-6.22256436213308
"PMS1",0.248094808877189,4.11385097231236,1.5824477580563,0.120502245057728,0.205072911589152,-5.82806337843573
"MYH7B",-0.247734109917686,0.952649582336719,-0.564166154185638,0.575422737959467,0.685753250670172,-6.16645241337108
"P4HA2",0.247697907975953,5.79658086161471,3.08740115383914,0.00344054766823663,0.0104406244802685,-2.94819305578612
"LSM14B",-0.24767887582157,5.68282744422879,-4.7060465368034,2.40165293047553e-05,0.000135478957274504,1.82870225311532
"SETX",0.247635695069556,7.60370018499796,1.50908551001787,0.138217974623402,0.229232488166597,-6.40455366358506
"FCF1",-0.247601403838506,6.31349372173119,-2.97606031630384,0.00467136706532593,0.0135539366790949,-3.30181505126397
"IFI30",-0.247455641058603,3.91535536392783,-1.50696124175768,0.138760338238112,0.229871820759462,-5.90341938824245
"CHFR",-0.247350639103905,3.16789242437991,-0.368300245013652,0.714364241762618,0.802017464141488,-6.76067732497892
"ZNF655",0.247319096344409,6.71437167803553,1.148452758537,0.256807732732075,0.374800474798164,-6.79532397565101
"PPP1R3E",0.247293275994725,3.17129457604543,0.810929137976097,0.421644911593003,0.546227712004222,-6.48936754611562
"CCDC137",-0.247260989579894,4.85832413593602,-1.69488589092813,0.0969590632208187,0.171425034680043,-5.7987112826922
"MARCH9",0.24725406996943,4.45742888235626,1.33056180169703,0.189989959100882,0.294964138493519,-6.25334724254599
"SDF2",0.247249352772801,5.38941071999401,1.71909199478854,0.0924223570985739,0.164997019539076,-5.83591955070406
"RANBP9",-0.247239929426021,6.49204457201347,-3.69994228680523,0.000581632633951056,0.00221838513812422,-1.34989354891305
"SLC45A3",0.247235764316766,5.28396594806407,0.829912732295199,0.410938732050333,0.535929592134174,-6.92884016699629
"SCNN1A",0.247228404350922,8.57714567110695,1.33308218901691,0.189167988103174,0.293904672036359,-6.70679349833947
"ZNF524",0.24713349538016,2.20066626513759,1.28875744837393,0.204022793083985,0.311464400056386,-5.76124256662241
"FAM177A1",0.247042492736862,5.98534886951956,3.92720250326366,0.000290267740972954,0.00121612174235221,-0.621482550223382
"B3GNT3",0.247001411673323,7.61330857197055,4.03669122999983,0.000206458389259256,0.000898969058125417,-0.447057347807037
"MPDU1",0.246993456904734,5.91717612687823,1.88238717901272,0.0662134320754161,0.125664302749318,-5.62939908481735
"CA5B",0.246977484973512,3.10911521029133,0.884606776568051,0.381038212786439,0.507675965496567,-6.4113593387318
"TXNDC15",-0.246945383372339,5.10586088705856,-2.06500968691875,0.0446708948653557,0.0907573169829036,-5.18271466989067
"BMP4",0.246913028951372,5.06707687424546,1.96724786604289,0.0552940964689627,0.10837539987309,-5.35431543297439
"ANKRD13B",-0.246887022261496,1.5467735515572,-0.896058274469023,0.374956889299951,0.50188937894033,-6.04818262008904
"TMTC4",-0.246809199307656,4.37029064649793,-1.89541795218851,0.0644257852913138,0.122695436765794,-5.37087145669895
"RAB2A",0.246725485864076,7.86588454733544,4.7684764359765,1.95520186660804e-05,0.00011348613131125,1.83062965694238
"NUCB1",-0.246705774302719,6.53083436842127,-2.45268137985352,0.0180921532380232,0.0425959471428473,-4.56704389190326
"SPTLC1",0.24665314915041,6.88604215235487,2.29621084220411,0.026340414302975,0.0582496574164566,-4.93327202011271
"ECT2",-0.246646004391974,6.71352132762857,-1.13100030668396,0.264004937386983,0.382927759081444,-6.81886077206544
"ARHGEF3",0.246640894102472,5.46756848526386,2.00834719384193,0.0505881054534454,0.100936570426297,-5.33802500944118
"ANKRD11",-0.246615249485101,7.44697759594293,-2.91469123893589,0.00551512075622859,0.0156253510932073,-3.56078313013844
"ZNF419",0.246546800010676,3.36484089807866,1.77615038868721,0.0824222941374713,0.150547572813109,-5.33143964610726
"FAM120C",-0.246486978338397,4.4489404382131,-1.66487043452601,0.102838498275153,0.179956690791419,-5.77501617764069
"TEX2",0.246422228752144,5.60797314980959,2.67207218914808,0.010438257882904,0.0269344142553349,-3.95071360820044
"C11orf74",0.246394301057753,1.93032192171828,0.620103228104158,0.538295677406011,0.652863303582868,-6.32649927445576
"SRRM1",-0.246385656556091,5.96095130730494,-1.79124232136285,0.0799341961170482,0.146873418952308,-5.79899183484389
"TMEM120B",-0.246307347870019,5.10185085730205,-1.28719024252193,0.204563646664181,0.312068844530797,-6.42665120631002
"RAD23B",-0.246223564715963,8.09753020049129,-3.46700252000946,0.00116383576155253,0.00407149188343791,-2.13969467668262
"SMARCA5",0.246161580355234,7.78929128403946,1.72101193589384,0.0920701864426618,0.16443800365929,-6.08815248068166
"YY2",-0.246147125229376,1.41930444442948,-0.549240315530866,0.58553693937026,0.694727208064094,-6.26799106048513
"ZFAND1",0.24609867203742,5.76552689585811,3.48756879720761,0.00109559826214145,0.00385878209647216,-1.86463600357035
"RARS",-0.24609006351383,6.65984869861298,-3.51861469813195,0.000999782720376142,0.00356502869962651,-1.88322296508582
"LONP1",-0.246054225674186,5.9334539629554,-2.28525948488811,0.0270275443025983,0.0595917029851042,-4.85777944566073
"ERN1",0.245743262009798,4.58637676450809,1.39999868845968,0.168322791556383,0.267692844955247,-6.18485113589583
"USP22",-0.245633135149182,8.11181501169232,-1.491550926283,0.142745734309499,0.235014345112029,-6.46606448458656
"NBAS",0.245631862971591,5.89952285891479,1.92159075192017,0.0609593593489816,0.117206704919923,-5.55673816253316
"NXF1",-0.24561647497119,5.71449047980133,-2.27369375327523,0.0277705371975555,0.0609004699806163,-4.85300390111616
"RSBN1",0.245527461974667,4.81256811986299,1.71884473916035,0.0924677918049244,0.165054812437777,-5.74527820612367
"ZFP90",0.245491617026792,5.11874366985187,1.77130015537512,0.0832355670610849,0.151824818548045,-5.70803317250804
"CBWD5",0.245469244229247,5.32446654074613,1.77685474984959,0.0823047442618031,0.150398083657577,-5.72994765742731
"ATMIN",-0.245440290456093,5.92696511858371,-2.15202456601565,0.0367585524639135,0.0768118189075593,-5.12825772894446
"ZBTB1",0.245418111526497,5.54546918971637,2.48721528964062,0.0166211501547937,0.0397172566860767,-4.3649799498575
"SMC3",-0.245303120016628,6.16881207078396,-0.771169901462027,0.444608639658015,0.56770777217699,-7.10232999850878
"CAPN10",0.24522875299652,4.86292944391456,1.70794828103831,0.0944885594106629,0.167973753054746,-5.77141465629173
"SUCLG2",0.245147131377745,7.0642514816135,3.14991258337408,0.00289047523226901,0.00896075687805476,-2.9207670373122
"PHYKPL",0.245086511393517,4.47483671017351,1.6990473886499,0.0961662642174896,0.1702854420757,-5.7177195887225
"FAF1",-0.245045004362949,5.46849381452596,-2.29563538539438,0.0263761287382385,0.0583080410665469,-4.77363680389636
"SLIRP",-0.245019475214272,4.77684272112939,-2.38379587514604,0.0213830923399483,0.0489486874651424,-4.48045762373992
"IFT57",0.245015445559162,5.86700225602132,2.27225412995841,0.0278642821169118,0.0610742325518463,-4.87072680039132
"GLRX2",0.244973034440906,2.90018042817962,1.16615486282033,0.24965247728644,0.3668576233273,-6.07225715803868
"SNRNP200",-0.244970168209331,8.74993339290695,-3.2152005696232,0.00240513699064553,0.00764866012638771,-2.85972195134565
"TM4SF1",-0.244964923383341,8.21403304394613,-0.558132549100365,0.579501013198918,0.689418836981007,-7.42052327960466
"PCDHGC3",-0.244701901693784,5.28803616556208,-1.27354065709048,0.209319845433638,0.317751749987921,-6.47221329892946
"UCHL5",-0.244613926539039,5.65465806164823,-3.36100638723992,0.00158481417803357,0.00531609024519038,-2.20553329209682
"TRIP10",-0.244574256707835,6.67041879529956,-1.34445095795029,0.185493945432116,0.289200845975354,-6.55434588506037
"STT3B",0.244570120769371,8.77050820333997,2.2992174828124,0.0261545150840224,0.0579296148293965,-5.05586541691189
"NUDT6",-0.244529712268134,2.11047597183881,-0.81744597417538,0.417950688764306,0.542387275672771,-6.23528731220691
"ZNF568",0.24445662943113,1.31742947234033,1.01769551410288,0.314225287671253,0.437695568943205,-5.8794404561658
