"geneID","ERR978108","ERR978109","ERR978110","ERR978111","ERR978113","ERR978115","ERR978116","ERR978117","ERR978190","ERR978192","ERR978195","ERR978215","ERR978219","ERR978220","ERR978222","ERR978224","ERR978118","ERR978120","ERR978121","ERR978142","ERR978144","ERR978151","ERR978107","ERR978193","ERR978112","ERR978212","ERR978217","ERR978143","ERR978147","ERR978221","ERR978148","ERR978223","ERR978149","ERR978225","ERR978183","ERR978184","ERR978185","ERR978186","ERR978187","ERR978188","ERR978191","ERR978194","ERR978213","ERR978216"
"NRG4",-0.0352289300077818,1.15702792271878,-0.602175667049435,0.384346611742284,1.28180668833284,-1.6319830649759,-2.5693045091088,-2.57016701998331,0.582645185313266,0.349955828739603,-0.617902478110992,4.34816516020264,4.45307099099138,4.20198917669143,4.17473143366276,4.40654472279845,0.129952720428268,-1.6510204698652,0.274758735798718,3.13401583459207,1.71686958271343,2.44098936105887,0.396369663913789,1.18975138233268,0.909335652114076,4.03527446516984,4.2840584147212,2.17062435174373,2.07414187905705,4.95722537547525,1.69513482242291,4.17168763488333,1.55898002774906,4.28538163137361,2.35531547333834,2.06326002057008,1.40516161474063,1.22521816423382,2.31375007932823,3.28481152421653,-0.780525980041162,0.56753638475584,4.1657629697519,4.04069303833478
"PADI3",5.70047261887379,5.47039876328198,5.76311295848058,5.74961202693633,5.78281880524553,4.68145194310153,4.84267482109395,4.73567538587218,2.64406931099497,3.50905513771617,2.79591102260038,-0.275588410299129,-0.220415441653799,-0.242262104999072,-0.250954826545102,0.897859791875694,4.86306954479149,5.00965737508882,4.90915889789434,2.46253546693382,3.03377855767803,2.55010888861557,5.65850422258363,2.70973311306455,5.66897592107598,-0.984259470615582,0.235570555938643,2.92087917860676,2.4642693529764,-0.24696806828916,1.79776663813522,0.59507217524659,2.44758386889992,-0.228102251848345,3.20482097326644,2.9562379125605,2.66509665622632,3.18447196956206,3.33334867652255,3.62654172712429,2.80155926475256,2.62921065658335,-0.988880212739253,-2.57456143348126
"PARM1",4.26185602219425,4.18356425302329,4.39688944396202,4.18111642952051,4.14384145575988,2.45928914025838,2.04314770220671,1.70177490521747,5.88799280005044,6.07969704738897,5.85650181771517,6.82208417652465,5.95391981061014,6.12039629258956,6.06969471551025,6.05319312703371,2.03070775572052,2.37079270791384,2.15534031719288,3.55780780606454,3.67592341203957,1.31885430898766,4.11980502603431,6.03314020180787,4.3055491992438,6.85781392346235,6.76014150162293,3.60891757412269,2.02303180314406,5.93078829284791,1.78829739385729,5.91752696137209,1.86102089264538,6.12030401431164,7.2402680003907,7.2143472276651,7.33101749356467,7.2197694199162,7.23705867043096,7.24634440587638,6.10097928354089,6.0429871044259,6.84403462749838,6.90214226506203
"PARVB",2.50655753722559,1.82790633185833,2.38096066881395,1.74406475486881,1.73708403174411,3.33462594306323,2.50898497980801,2.79889064204871,1.8903978362392,1.26909486050713,1.08242467853837,1.20433923896635,0.950565607150139,0.928298994977226,2.17509853303519,-0.755139022567792,2.14606248310439,2.71385692754744,2.17392480785944,3.02028150905849,4.39642404247,4.13610604193291,2.70330439151841,0.667168516943899,2.83113411747275,-0.0237849946739445,0.922063776439423,4.28245638628912,3.09128737231102,-0.763770488317335,3.74752428576169,0.470732475020956,3.23945284289333,-0.0246930257736423,0.970126769423018,0.0451363552499521,1.74556054393888,0.773815051024395,-0.695697755659068,-1.31312230078811,2.74633936505517,2.0544212820256,-0.0285684378778721,2.12563762058522
"PCDHA4",2.57959722333961,-2.54325714851497,2.29235878001299,2.13039559744101,2.1545104792531,-0.369613807580806,1.57877652428483,2.43638830362276,3.79004506875737,3.5306420085153,3.73068596783416,4.27565282105764,3.73832951533067,4.23696329157124,4.15984238628069,4.11333703382646,1.75344327634268,2.85190160069238,1.87736988152963,2.69322492949669,2.55596627453553,2.56594917988031,0.603031236101932,4.05157289237001,1.88677663846806,3.88547290716189,4.00148929767752,-1.56466464936271,2.92698732436259,4.35098263213035,1.42047332769893,4.41351531008899,2.8323002725063,3.37079194709085,3.50203690984328,1.3557812719746,3.38777863485316,3.62137260415202,3.38524565483117,3.68454966380547,4.12336043149758,3.60226096732298,4.56923371108218,4.58755825905567
"PDE3B",0.368937687497188,1.11404855549976,0.617171593943308,1.38174878424425,2.78940362582589,-0.506589466758215,-0.723588625471034,-0.629738791687393,0.892769036543729,1.99058858623577,0.23969826310496,4.23557836499577,4.74249012395721,4.95300626064094,4.92144963497975,4.78392806464864,-0.012856563267382,-0.544251672302544,-2.56833144760113,3.89179804264009,2.63010199091051,3.4120521761962,1.82713579393627,0.592267616839505,1.97070290952012,5.10186750580024,5.04686393965851,2.87311146101643,3.14152766543648,4.89708396788898,2.75698830131055,5.12244062275654,2.92050779147858,5.04360197831461,2.19156929689735,2.90169684321073,2.96213552078539,2.83349785452539,2.87740011180248,2.85370739929666,0.171273631956454,3.65576461525069,4.77675644970516,4.99204215341842
"PDGFB",5.15350853550028,5.59414556944851,5.6080172396055,5.43720806848086,5.35117295174473,4.44739964816434,4.84993094448169,5.52962927355003,3.8935609433531,3.28888314377824,3.50760590088609,1.64091089034221,3.57465695656532,1.67301923806167,2.8423091721496,2.08260575068006,5.40287883078035,5.1537584372859,4.69462850154601,4.90823586620626,5.04612041596601,5.32409947531637,5.31889193641215,3.29058837247519,4.98256655840519,1.67003672359901,2.62849881541719,4.87067324617648,5.72763337859421,1.67832114011096,5.54026488867968,1.67314793170727,5.50992167872825,2.58760375133141,3.91335360223597,3.64499290019428,2.87275154034714,2.72425722586864,2.9175545908124,2.28498505864068,3.36394845798554,3.35655939727682,2.06094168743654,2.62339459561307
"PDZD3",-0.454251557415146,1.58466570367002,-0.945072241373626,-0.437914313638957,-2.57303526305083,1.03720408433747,1.73705560654005,0.985268436661341,3.1218302191898,3.38909388467112,3.49733352237701,1.39377105067751,0.485290470272959,0.696843837553372,2.09511846904071,2.20140156909702,2.1490415930678,-0.808283960871252,-0.85383801117077,-2.56518954388183,-1.13974629861393,-1.42414590449259,-0.915155491370477,4.43403426697503,1.43684864306941,2.57581551919659,1.97363680531892,-2.55697137467362,-1.14067135978926,2.88419254973349,-0.809637137994195,0.453612768719424,-1.43705913747966,2.67022799003873,3.93482785412083,4.08457313456521,4.05129151035976,4.30735390367266,4.62328045317513,4.43427831801064,4.01899491419314,3.29584191007387,1.31888884765983,3.0896967106727
"PGM2L1",2.5529112228239,1.12858880263484,1.83322436447707,2.40443182141093,1.99449705194859,3.31169827578978,2.84656558301777,2.9915229604618,4.37201056059595,4.30008782017192,4.26328608618367,7.18494165866074,7.08090845909437,7.06807012103874,6.99146547615979,7.03199872533045,2.96726531872222,2.7296693060899,2.96079980186188,4.93916885596442,5.10808615647975,4.47022328447855,2.32814945365452,4.31624322172112,2.75587793640421,6.94960660627993,7.10408096387005,5.53181069514876,4.53576575273074,7.01918033522751,4.29734064941889,6.98615759194836,4.53317968915952,7.07438456136614,4.49355589426334,4.29565650647684,4.53739623799966,4.36376897397231,4.25529064956098,4.90269274522741,4.48759981156694,4.63905861696065,7.01634694307349,7.01361139839912
"PHLDB2",4.16213224822468,4.01446473702951,4.57659431613742,4.72508433048965,4.07949013789497,3.41228379800778,3.49881287415562,4.50199923835748,3.69285944175121,3.09918587662891,1.13297239069741,2.88488641538994,3.91445683309882,3.94943987368854,3.24766704931257,3.17426789178363,4.47859782250592,3.75677025968707,3.61626838433879,5.5275255723197,5.55621779153818,5.79724132593204,4.94070119058292,3.62182869488943,4.75497783608499,3.23722247352891,2.90860434028735,5.24745419502308,6.08430664814617,4.02650799456644,5.94503495720007,4.09577839015858,6.03801982200669,4.09789606640661,1.23063692968904,1.19206743184803,1.51314579013129,0.313819478062787,-2.50076810021465,0.63942968611828,3.78937666044096,4.38896322968889,2.92865911378209,3.10467734107423
