geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
GMFG,2.763792060155854,3.2043591908896176,2.3008200833854513,1.5347835943328836,2.507304294453537,2.645724810160041,0.6065834126523711,0.5022229341981774,-0.5951509366833634,0.0443380477110377,1.9295591989682659,0.960406557111211,3.0940530921096854,3.221384017674011,3.0796997289584347,1.2442724201522564
ARSI,1.9882219914510302,2.1736179723414413,1.8061454980119607,-1.0751696278654956,1.7871616595479998,1.9358833402486355,-2.5488313617922063,-1.2079825025931454,-2.5532812326906207,-2.514178130249264,1.9476132046480974,-0.17674171898408392,2.1956833188282365,1.9057174286710092,1.7958879219285708,0.0719957978439129
SERPINB2,2.3775497822896066,2.7905792358539743,2.6052696805666806,-0.6696191194398224,1.7814202626744584,1.4627447784542644,0.06471999755764325,-1.151427339654795,-2.5532812326906207,-0.755876502750513,1.692975641906751,1.5973513378822144,2.9666844797017853,2.602134636595763,2.782530930288714,1.6582087351888837
TAF4B,2.9620383252563,2.4097050652138003,2.2389307283047173,1.6144603194273899,2.6257844188564747,1.9575929681149895,-0.7001763287474584,-0.7106473461645982,-0.7071220267473892,-2.514178130249264,1.3698678825765638,1.6980469319776255,3.0182976221982667,2.9527264779089664,2.8272176414015195,1.2643816627386708
NIPAL4,3.283354450863646,3.5863138735290794,2.959306148227091,1.805229618351139,2.957790049384248,2.9506365177531553,-0.1746423218675642,-0.18526511119518543,-1.1187013240008195,-2.514178130249264,1.256760917879141,1.2607038686399115,2.858503194070716,3.6389226210274868,3.3172374980514236,1.2639723329267716
PRSS27,3.8570035276966537,3.5054328920064313,3.2673594499856593,2.931370932308792,1.3957799664420067,2.9059204530065155,-0.6409214702908936,0.6510815178534544,-0.6479070142899997,-2.514178130249264,1.6937283627908954,2.3052820843946082,3.366166116650953,2.848455392048952,3.5674423748645605,1.073416596448636
THBS1,6.9494782717097845,7.599796745431813,6.690033472115469,6.074919706359252,6.224497066219172,6.358402159713984,3.3656354980403247,3.9001476014933547,4.747834146492504,2.1523053393662304,5.630322373397933,6.3226999908688075,6.759148955439313,6.679564875132666,7.169473080619482,6.515275375085743
TRPV6,2.1760100298299263,2.289276731589712,0.7398842518798332,2.3059989262759433,0.9613334725311761,2.3721691096326962,-1.1157409003073773,-2.5580097206584744,-2.5532812326906207,-2.514178130249264,0.8986161680693839,1.8655909434017288,2.0570377236969684,1.7010912958383158,3.110549745989759,-0.10848966654829632
PHLDB2,4.323635846710115,3.6108944925795656,3.5047007864518496,3.393474089913031,4.712350739728862,4.555114773372687,0.9854403326783718,1.3008282741883663,0.12153831591425003,-2.514178130249264,3.5071094539389494,4.158265639013202,3.421233640712127,4.287294912231851,3.1665016576119287,0.993755043633712
GRPR,4.022830581151008,3.914156238353139,4.203117199705547,1.268253735893455,3.746663062078238,3.4141413530826767,0.6275127436703383,0.2539987337789389,-0.9658106462220366,-0.18898176450249615,1.4750992676782,1.2729247603965999,3.9556197627588277,3.8156606843194005,3.9681233192159073,1.822920032741576
FOSL1,6.739139823409694,6.782777367264696,6.602590173420754,5.021608622403779,6.320267588972533,6.326203424848334,4.00240694747771,3.982295686628875,3.547277623889813,3.689005415595249,4.459798289395627,4.5435516533724005,6.576615661425158,6.773447190087314,6.665201999692014,4.553209000354606
ARL4C,7.968911288108501,7.862256991654864,7.974968987350671,6.135066079946011,8.339385496713614,8.274392920982162,5.157313321754729,4.996979957584753,5.063234416021927,5.08134625928313,6.344091118079879,6.222668183456258,7.9316883913785405,7.952058774331447,8.035503244703001,6.188115944546342
SERPINE1,6.054588568384427,5.6605691680172106,5.871797355527226,3.497910479923128,5.477315351589111,5.31323915141993,2.3937816054541163,2.2021077290799203,2.4067373500938185,1.3965290616645292,3.588966537229921,3.9122412743750483,5.981374890479284,5.834775490988913,5.717040269287611,3.987049197708659
SLC2A3,7.323023788797053,7.369541827441763,7.672803650628177,6.103318284648485,7.262347121934321,6.886117378644273,5.164785862448691,4.403885890938629,4.380350696698944,4.664292481184494,5.216454504846834,6.376769210537858,7.697150309057274,7.533039856007088,7.625592138658469,5.322779464679182
